qtype,Question,Answer
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM) ?,"LCMV is most commonly recognized as causing neurological disease, as its name implies, though infection without symptoms or mild febrile illnesses are more common clinical manifestations. 
                
For infected persons who do become ill, onset of symptoms usually occurs 8-13 days after exposure to the virus as part of a biphasic febrile illness. This initial phase, which may last as long as a week, typically begins with any or all of the following symptoms: fever, malaise, lack of appetite, muscle aches, headache, nausea, and vomiting. Other symptoms appearing less frequently include sore throat, cough, joint pain, chest pain, testicular pain, and parotid (salivary gland) pain. 
                
Following a few days of recovery, a second phase of illness may occur. Symptoms may consist of meningitis (fever, headache, stiff neck, etc.), encephalitis (drowsiness, confusion, sensory disturbances, and/or motor abnormalities, such as paralysis), or meningoencephalitis (inflammation of both the brain and meninges). LCMV has also been known to cause acute hydrocephalus (increased fluid on the brain), which often requires surgical shunting to relieve increased intracranial pressure. In rare instances, infection results in myelitis (inflammation of the spinal cord) and presents with symptoms such as muscle weakness, paralysis, or changes in body sensation. An association between LCMV infection and myocarditis (inflammation of the heart muscles) has been suggested. 
                
Previous observations show that most patients who develop aseptic meningitis or encephalitis due to LCMV survive. No chronic infection has been described in humans, and after the acute phase of illness, the virus is cleared from the body. However, as in all infections of the central nervous system, particularly encephalitis, temporary or permanent neurological damage is possible. Nerve deafness and arthritis have been reported. 
                
Women who become infected with LCMV during pregnancy may pass the infection on to the fetus. Infections occurring during the first trimester may result in fetal death and pregnancy termination, while in the second and third trimesters, birth defects can develop. Infants infected In utero can have many serious and permanent birth defects, including vision problems, mental retardation, and hydrocephaly (water on the brain). Pregnant women may recall a flu-like illness during pregnancy, or may not recall any illness. 
                
LCM is usually not fatal. In general, mortality is less than 1%."
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM) ?,"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment based on severity. Anti-inflammatory drugs, such as corticosteroids, may be considered under specific circumstances. Although studies have shown that ribavirin, a drug used to treat several other viral diseases, is effective against LCMV in vitro, there is no established evidence to support its routine use for treatment of LCM in humans."
treatment,What are the treatments for Parasites - Cysticercosis ?,"Some people with cysticercosis do not need to be treated. There are medications available to treat cysticercosis for those who do need treatment. Sometimes surgery may be needed. Your doctor will advise you on which treatment is best for you.
    
More on: Resources for Health Professionals: Treatment
    
More on: Taeniasis"
treatment,What are the treatments for Parasites - Trichuriasis (also known as Whipworm Infection) ?,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment. Infections are generally treated for 3 days. The recommended medications are effective. Health care providers may decide to repeat a stool exam after treatment. Iron supplements may also be prescribed if the infected person suffers from anemia.
    
More on: Resources for Health Professionals: Treatment"
treatment,how can these diseases be treated for Marine Toxins ?,"Other than supportive care there are few specific treatments for ciguatera poisoning, paralytic shellfish poisoning, neurotoxic shellfish poisoning, or amnesic shellfish poisoning. Antihistamines and epinephrine, however, may sometimes be useful in treating the symptoms of scombrotoxic fish poisoning. Intravenous mannitol has been suggested for the treatment of severe ciguatera poisoning."
treatment,What are the treatments for Parasites - Schistosomiasis ?,"Safe and effective medication is available for treatment of both urinary and intestinal schistosomiasis. Praziquantel, a prescription medication, is taken for 1-2 days to treat infections caused by all Schistosoma species.
    
More on: Resources for Health Professionals: Treatment"
treatment,What are the treatments for Parasites - Lice - Head Lice ?,"General Guidelines 
   
Treatment for head lice is recommended for persons diagnosed with an active infestation. All household members and other close contacts should be checked; those persons with evidence of an active infestation should be treated. Some experts believe prophylactic treatment is prudent for persons who share the same bed with actively-infested individuals. All infested persons (household members and close contacts) and their bedmates should be treated at the same time. 
   
Some pediculicides (medicines that kill lice) have an ovicidal effect (kill eggs). For pediculicides that are only weakly ovicidal or not ovicidal, routine retreatment is recommended. For those that are more strongly ovicidal, retreatment is recommended only if live (crawling) lice are still present several days after treatment (see recommendation for each medication). To be most effective, retreatment should occur after all eggs have hatched but before new eggs are produced. 
   
When treating head lice, supplemental measures can be combined with recommended medicine (pharmacologic treatment); however, such additional (non-pharmacologic) measures generally are not required to eliminate a head lice infestation. For example, hats, scarves, pillow cases, bedding, clothing, and towels worn or used by the infested person in the 2-day period just before treatment is started can be machine washed and dried using the hot water and hot air cycles because lice and eggs are killed by exposure for 5 minutes to temperatures greater than 53.5°C (128.3°F). Items that cannot be laundered may be dry-cleaned or sealed in a plastic bag for two weeks. Items such as hats, grooming aids, and towels that come in contact with the hair of an infested person should not be shared. Vacuuming furniture and floors can remove an infested person's hairs that might have viable nits attached. 
     
   
Treatment of the infested person(s): Requires using an Over-the-counter (OTC) or prescription medication. Follow these treatment steps: 
    
    - Before applying treatment, it may be helpful to remove clothing that can become wet or stained during treatment. 
    - Apply lice medicine, also called pediculicide, according to the instructions contained in the box or printed on the label. If the infested person has very long hair (longer than shoulder length), it may be necessary to use a second bottle. Pay special attention to instructions on the label or in the box regarding how long the medication should be left on the hair and how it should be washed out.
 
       
       
        
       
       
    - Have the infested person put on clean clothing after treatment. 
    - If a few live lice are still found 8–12 hours after treatment, but are moving more slowly than before, do not retreat. The medicine may take longer to kill all the lice. Comb dead and any remaining live lice out of the hair using a fine–toothed nit comb. 
    - If, after 8–12 hours of treatment, no dead lice are found and lice seem as active as before, the medicine may not be working. Do not retreat until speaking with your health care provider; a different pediculicide may be necessary. If your health care provider recommends a different pediculicide, carefully follow the treatment instructions contained in the box or printed on the label. 
    - Nit (head lice egg) combs, often found in lice medicine packages, should be used to comb nits and lice from the hair shaft. Many flea combs made for cats and dogs are also effective. 
    - After each treatment, checking the hair and combing with a nit comb to remove nits and lice every 2–3 days may decrease the chance of self–reinfestation. Continue to check for 2–3 weeks to be sure all lice and nits are gone. Nit removal is not needed when treating with spinosad topical suspension. 
    - Retreatment is meant to kill any surviving hatched lice before they produce new eggs. For some drugs, retreatment is recommended routinely about a week after the first treatment (7–9 days, depending on the drug) and for others only if crawling lice are seen during this period. Retreatment with lindane shampoo is not recommended. 
    
     
   
Supplemental Measures: Head lice do not survive long if they fall off a person and cannot feed. You don't need to spend a lot of time or money on housecleaning activities. Follow these steps to help avoid re–infestation by lice that have recently fallen off the hair or crawled onto clothing or furniture. 
    
    -  
Machine wash and dry clothing, bed linens, and other items that the infested person wore or used during the 2 days before treatment using the hot water (130°F) laundry cycle and the high heat drying cycle. Clothing and items that are not washable can be dry–cleaned 
OR 
sealed in a plastic bag and stored for 2 weeks.  
    - Soak combs and brushes in hot water (at least 130°F) for 5–10 minutes. 
    - Vacuum the floor and furniture, particularly where the infested person sat or lay. However, the risk of getting infested by a louse that has fallen onto a rug or carpet or furniture is very low. Head lice survive less than 1–2 days if they fall off a person and cannot feed; nits cannot hatch and usually die within a week if they are not kept at the same temperature as that found close to the human scalp. Spending much time and money on housecleaning activities is not necessary to avoid reinfestation by lice or nits that may have fallen off the head or crawled onto furniture or clothing. 
    - Do not use fumigant sprays; they can be toxic if inhaled or absorbed through the skin. 
    
   
 
     
   
Prevent Reinfestation: 
   
More on: Prevention & Control 
   
 
     
   Over-the-counter Medications 
   
Many head lice medications are available ""over-the-counter"" without a prescription at a local drug store or pharmacy. Each over-the-counter product approved by the FDA for the treatment of head lice contains one of the following active ingredients. If crawling lice are still seen after a full course of treatment contact your health care provider. 
    
    -  
Pyrethrins combined with piperonyl butoxide;
 Brand name products: A–200*, Pronto*, R&C*, Rid*, Triple X*, Licide* 
Pyrethrins are naturally occurring pyrethroid extracts from the chrysanthemum flower. Pyrethrins are safe and effective when used as directed. Pyrethrins can only kill live lice, not unhatched eggs (nits). A second treatment is recommended 9 to 10 days after the first treatment to kill any newly hatched lice before they can produce new eggs. Pyrethrins generally should not be used by persons who are allergic to chrysanthemums or ragweed. Pyrethrin is approved for use on children 2 years of age and older.  
    -  
Permethrin lotion, 1%;
 Brand name product: Nix*. 
Permethrin is a synthetic pyrethroid similar to naturally occurring pyrethrins. Permethrin lotion 1% is approved by the FDA for the treatment of head lice. Permethrin is safe and effective when used as directed. Permethrin kills live lice but not unhatched eggs. Permethrin may continue to kill newly hatched lice for several days after treatment. A second treatment often is necessary on day 9 to kill any newly hatched lice before they can produce new eggs. Permethrin is approved for use on children 2 months of age and older.  
    
   
 
     
   Prescription Medications 
   
The following medications, in alphabetical order, approved by the U.S. Food and Drug Administration (FDA) for the treatment of head lice are available only by prescription. If crawling lice are still seen after a full course of treatment, contact your health care provider. 
    
    -  
Benzyl alcohol lotion, 5%;
 Brand name product: Ulesfia lotion* 
Benzyl alcohol is an aromatic alcohol. Benzyl alcohol lotion, 5% has been approved by the FDA for the treatment of head lice and is considered safe and effective when used as directed. It kills lice but it is not ovicidal(i.e., does not kill lice eggs). A second treatment is needed 9 days after the first treatment to kill any newly hatched lice before they can produce new eggs. Benzyl alcohol lotion is intended for use on persons who are 6 months of age and older and its safety in persons aged more 60 years has not been established. It can be irritating to the skin.  
    -  
Ivermectin lotion, 0.5%;
 Brand name product: Sklice* 
Ivermectin lotion, 0.5% was approved by the FDA in 2012 for treatment of head lice in persons 6 months of age and older. It is not ovicidal, but appears to prevent nymphs (newly hatched lice) from surviving. It is effective in most patients when given as a single application on dry hair without nit combing. It should not be used for retreatment without talking to a healthcare provider. 
Given as a tablet in mass drug administrations, oral ivermectin has been used extensively and safely for over two decades in many countries to treat filarial worm infections. Although not FDA-approved for the treatment of lice, ivermectin tablets given in a single oral dose of 200 micrograms/kg repeated in 10 days or 400 micrograms/kg repeated in 7 days has been shown effective against head lice. It should not be used in children weighing less than 15 kg or in pregnant women.   
    -  
Spinosad 0.9% topical suspension;
 Brand name product: Natroba* 
Spinosad is derived from soil bacteria. Spinosad topical suspension, 0.9%, was approved by the FDA in 2011. Since it kills live lice as well as unhatched eggs, retreatment is usually not needed. Nit combing is not required. Spinosad topical suspension is approved for the treatment of children 6 months of age and older. It is safe and effective when used as directed. Repeat treatment should be given only if live (crawling) lice are seen 7 days after the first treatment.  
    
   
For second–line treatment only: 
    
    -  
Lindane shampoo 1%;
 Brand name products: None available 
Lindane is an organochloride. The American Academy of Pediatrics (AAP) no longer recommends it as a pediculocide. Although lindane shampoo 1% is approved by the FDA for the treatment of head lice, it is not recommended as a first–line treatment. Overuse, misuse, or accidentally swallowing lindane can be toxic to the brain and other parts of the nervous system; its use should be restricted to patients for whom prior treatments have failed or who cannot tolerate other medications that pose less risk. Lindane should not be used to treat premature infants, persons with HIV, a seizure disorder, women who are pregnant or breast–feeding, persons who have very irritated skin or sores where the lindane will be applied, infants, children, the elderly, and persons who weigh less than 110 pounds. Retreatment should be avoided.  
    
   
 
   
When treating head lice 
    
    - Do not use extra amounts of any lice medication unless instructed to do so by your physician or pharmacist. The drugs used to treat lice are insecticides and can be dangerous if they are misused or overused. 
    - All the medications listed above should be kept out of the eyes. If they get onto the eyes, they should be immediately flushed away. 
    - Do not treat an infested person more than 2–3 times with the same medication if it does not seem to be working. This may be caused by using the medicine incorrectly or by resistance to the medicine. Always seek the advice of your health care provider if this should happen. He/she may recommend an alternative medication. 
    - Do not use different head lice drugs at the same time unless instructed to do so by your physician or pharmacist. 
    
   
 
   
*Use of trade names is for identification purposes only and does not imply endorsement by the Public Health Service or by the U.S. Department of Health and Human Services."
treatment,What are the treatments for Parasites - Lice - Body Lice ?,"A body lice infestation is treated by improving the personal hygiene of the infested person, including assuring a regular (at least weekly) change of clean clothes. Clothing, bedding, and towels used by the infested person should be laundered using hot water (at least 130°F) and machine dried using the hot cycle.
    
Sometimes the infested person also is treated with a pediculicide, a medicine that can kill lice; however, a pediculicide generally is not necessary if hygiene is maintained and items are laundered appropriately at least once a week. A pediculicide should be applied exactly as directed on the bottle or by your physician.
    
If you choose to treat, guidelines for the choice of the pediculicide are the same as for head lice.
    
More on: Head Lice Treatment"
treatment,What are the treatments for Parasites - Toxocariasis (also known as Roundworm Infection) ?,"Visceral toxocariasis can be treated with antiparasitic drugs such as albendazole or mebendazole. Treatment of ocular toxocariasis is more difficult and usually consists of measures to prevent progressive damage to the eye.
    
More on: Resources For Health Professionals: Treatment"
treatment,What are the treatments for Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis ?,"Early diagnosis is essential for effective treatment of Acanthamoeba keratitis. Several prescription eye medications are available for treatment. However, the infection can be difficult to treat. The best treatment regimen for each patient should be determined by an eye doctor. If you suspect your eye may be infected with Acanthamoeba, see an eye doctor immediately.
    
Skin infections that are caused by Acanthamoeba but have not spread to the central nervous system can be successfully treated. Because this is a serious infection and the people affected typically have weakened immune systems, early diagnosis offers the best chance at cure.
    
Most cases of brain and spinal cord infection with Acanthamoeba (Granulomatous Amebic Encephalitis) are fatal."
